COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03009003;OLIVER;01/01/1997;NO;18
03009003;OLIVER;01/01/1997;SO2;7
03009003;OLIVER;01/01/1997;O3;43
03009003;OLIVER;01/01/1997;PST;
03009003;OLIVER;01/01/1997;PB;0,02
03009003;OLIVER;01/01/1997;NO2;5
03009003;OLIVER;02/01/1997;CO;1,1
03009003;OLIVER;02/01/1997;NO;20
03009003;OLIVER;02/01/1997;NO2;13
03009003;OLIVER;02/01/1997;SO2;7
03009003;OLIVER;02/01/1997;O3;48
03009003;OLIVER;02/01/1997;PST;
03009003;OLIVER;02/01/1997;PB;0,11
03009003;OLIVER;02/01/1997;NOX;42
03009003;OLIVER;03/01/1997;CO;1
03009003;OLIVER;03/01/1997;NO;21
03009003;OLIVER;03/01/1997;NO2;20
03009003;OLIVER;03/01/1997;SO2;7
03009003;OLIVER;03/01/1997;O3;54
03009003;OLIVER;03/01/1997;PST;
03009003;OLIVER;03/01/1997;PB;0,08
03009003;OLIVER;03/01/1997;NOX;52
03009003;OLIVER;04/01/1997;CO;1,5
03009003;OLIVER;04/01/1997;NO;14
03009003;OLIVER;04/01/1997;NO2;19
03009003;OLIVER;04/01/1997;SO2;8
03009003;OLIVER;04/01/1997;O3;51
03009003;OLIVER;04/01/1997;PST;
03009003;OLIVER;04/01/1997;PB;0,07
03009003;OLIVER;04/01/1997;NOX;40
03009003;OLIVER;05/01/1997;NOX;39
03009003;OLIVER;05/01/1997;CO;0,9
03009003;OLIVER;05/01/1997;NO;11
03009003;OLIVER;05/01/1997;SO2;6
03009003;OLIVER;05/01/1997;O3;31
03009003;OLIVER;05/01/1997;PST;
03009003;OLIVER;05/01/1997;PB;0,12
03009003;OLIVER;05/01/1997;NO2;23
03009003;OLIVER;06/01/1997;CO;0,7
03009003;OLIVER;06/01/1997;NO;6
03009003;OLIVER;06/01/1997;NO2;14
03009003;OLIVER;06/01/1997;SO2;5
03009003;OLIVER;06/01/1997;O3;59
03009003;OLIVER;06/01/1997;PST;
03009003;OLIVER;06/01/1997;PB;0,06
03009003;OLIVER;06/01/1997;NOX;21
03009003;OLIVER;07/01/1997;CO;0,8
03009003;OLIVER;07/01/1997;NO;19
03009003;OLIVER;07/01/1997;NO2;26
03009003;OLIVER;07/01/1997;SO2;11
03009003;OLIVER;07/01/1997;O3;40
03009003;OLIVER;07/01/1997;PST;
03009003;OLIVER;07/01/1997;PB;0,12
03009003;OLIVER;07/01/1997;NOX;54
03009003;OLIVER;08/01/1997;CO;0,7
03009003;OLIVER;08/01/1997;NO;15
03009003;OLIVER;08/01/1997;NO2;19
03009003;OLIVER;08/01/1997;SO2;10
03009003;OLIVER;08/01/1997;O3;46
03009003;OLIVER;08/01/1997;PST;
03009003;OLIVER;08/01/1997;PB;0,11
03009003;OLIVER;08/01/1997;NOX;42
03009003;OLIVER;09/01/1997;CO;0,8
